start,end,seconds,bytes,bits_per_second,jitter_ms,lost_packets,packets,lost_percent,omitted,sender,flow_type,target_rate_mbps,date,time
30.000443,31.00018,0.999737024307251,3769008,30159995.345669333,0.5104397040825883,0,2796,0.0,False,False,udp,30,20251009,043418_782517
31.00018,32.000203,1.0000230073928833,3764964,30119019.03989569,0.391362099963169,0,2793,0.0,False,False,udp,30,20251009,043418_782517
32.000203,33.000179,0.9999759793281555,3742048,29937103.109329764,0.4625132010129698,0,2776,0.0,False,False,udp,30,20251009,043418_782517
33.000179,34.000217,1.0000380277633667,3750136,29999947.16910804,0.4922063394269975,0,2782,0.0,False,False,udp,30,20251009,043418_782517
34.000217,35.000193,0.9999759793281555,3742048,29937103.109329764,0.4558162576794214,0,2776,0.0,False,False,udp,30,20251009,043418_782517
35.000193,36.000207,1.0000139474868774,3750136,30000669.566054914,0.45689454195355245,0,2782,0.0,False,False,udp,30,20251009,043418_782517
36.000207,37.000211,1.0000040531158447,3731264,29849991.014528453,0.563604816642708,0,2768,0.0,False,False,udp,30,20251009,043418_782517
37.000211,38.000093,0.9998819828033447,3777096,30220334.519161936,0.4802261325896596,0,2802,0.0,False,False,udp,30,20251009,043418_782517
38.000093,39.000199,1.0001059770584106,3723176,29782251.764565147,0.5262695651080367,0,2762,0.0,False,False,udp,30,20251009,043418_782517
39.000199,40.000204,1.0000050067901611,3750136,30000937.79159984,0.5269759132070677,0,2782,0.0,False,False,udp,30,20251009,043418_782517
40.000204,41.000205,1.0000009536743164,3769008,30152035.2447784,0.42150795846514555,0,2796,0.0,False,False,udp,30,20251009,043418_782517
41.000205,42.000207,1.0000020265579224,3756876,30054947.091908865,0.5058887266961177,0,2787,0.0,False,False,udp,30,20251009,043418_782517
42.000207,43.000204,0.9999970197677612,3750136,30001177.41047612,0.3844216229689372,0,2782,0.0,False,False,udp,30,20251009,043418_782517
43.000204,44.000207,1.0000029802322388,3742048,29936294.78288918,0.5432320042395762,0,2776,0.0,False,False,udp,30,20251009,043418_782517
44.000207,45.000148,0.9999409914016724,3758224,30067566.244939238,0.46035542306236243,0,2788,0.0,False,False,udp,30,20251009,043418_782517
45.000148,46.000217,1.00006902217865,3742048,29934317.868164342,0.4532480823810764,0,2776,0.0,False,False,udp,30,20251009,043418_782517
46.000217,47.000203,0.9999859929084778,3731264,29850530.119107366,0.5731054652451847,0,2768,0.0,False,False,udp,30,20251009,043418_782517
47.000203,48.000207,1.0000040531158447,3777096,30216645.528435234,0.4863146714350245,0,2802,0.0,False,False,udp,30,20251009,043418_782517
48.000207,49.000211,1.0000040531158447,3723176,29785287.2767802,0.529512928672968,0,2762,0.0,False,False,udp,30,20251009,043418_782517
49.000211,50.000206,0.999994993209839,3750136,30001238.20990429,0.5125998096176432,0,2782,0.0,False,False,udp,30,20251009,043418_782517
50.000206,51.000204,0.9999979734420776,3775748,30206045.214300234,0.5063916185491877,0,2801,0.0,False,False,udp,30,20251009,043418_782517
51.000204,52.000147,0.9999430179595947,3750136,30002797.62062629,0.5077695011770778,0,2782,0.0,False,False,udp,30,20251009,043418_782517
52.000147,53.000202,1.000054955482483,3750136,29999439.366335407,0.3823926401009618,0,2782,0.0,False,False,udp,30,20251009,043418_782517
53.000202,54.000205,1.0000029802322388,3742048,29936294.78288918,0.5580669866144217,0,2776,0.0,False,False,udp,30,20251009,043418_782517
54.000205,55.000203,0.9999979734420776,3758224,30065852.93019245,0.4930159235061371,0,2788,0.0,False,False,udp,30,20251009,043418_782517
55.000203,56.000202,0.9999989867210388,3756876,30055038.454138145,0.504788035413151,0,2787,0.0,False,False,udp,30,20251009,043418_782517
56.000202,57.000203,1.0000009536743164,3716436,29731459.645870548,0.545115486156801,0,2757,0.0,False,False,udp,30,20251009,043418_782517
57.000203,58.000209,1.0000059604644775,3777096,30216587.89510122,0.48338581763097155,0,2802,0.0,False,False,udp,30,20251009,043418_782517
58.000209,59.000203,0.9999939799308777,3756876,30055188.93431487,0.49423204290575345,0,2787,0.0,False,False,udp,30,20251009,043418_782517
59.000203,60.000205,1.0000020265579224,3716436,29731427.747539554,0.525630554278634,0,2757,0.0,False,False,udp,30,20251009,043418_782517
60.000205,61.000202,0.9999970197677612,3769008,30152153.860421,0.42084782046677466,0,2796,0.0,False,False,udp,30,20251009,043418_782517
61.000202,62.000205,1.0000029802322388,3756876,30054918.429363165,0.500053790003203,0,2787,0.0,False,False,udp,30,20251009,043418_782517
62.000205,63.000203,0.9999979734420776,3754180,30033500.864629112,0.4387920724604103,0,2785,0.0,False,False,udp,30,20251009,043418_782517
63.000203,64.000204,1.0000009536743164,3738004,29904003.481319923,0.559140565692021,0,2773,0.0,False,False,udp,30,20251009,043418_782517
64.000204,65.000204,1.0,3735308,29882464.0,0.742997254361205,0,2771,0.0,False,False,udp,30,20251009,043418_782517
65.000204,66.000151,0.9999470114707947,3773052,30186015.51256458,0.49042795950418583,0,2799,0.0,False,False,udp,30,20251009,043418_782517
66.000151,67.000207,1.0000560283660889,3723176,29783739.265752923,0.544910471451481,0,2762,0.0,False,False,udp,30,20251009,043418_782517
67.000207,68.000209,1.0000020265579224,3750136,30001027.201180648,0.540752501148493,0,2782,0.0,False,False,udp,30,20251009,043418_782517
68.000209,69.000204,0.999994993209839,3750136,30001238.20990429,0.531781976259176,0,2782,0.0,False,False,udp,30,20251009,043418_782517
69.000204,70.000205,1.0000009536743164,3779792,30238307.162503086,0.484194219202612,0,2804,0.0,False,False,udp,30,20251009,043418_782517
70.000205,71.000204,0.9999989867210388,3750136,30001118.399502087,0.35804905001475185,0,2782,0.0,False,False,udp,30,20251009,043418_782517
71.000204,72.000183,0.999979019165039,3754180,30034070.13986881,0.34970987739268855,0,2785,0.0,False,False,udp,30,20251009,043418_782517
72.000183,73.00021,1.0000269412994385,3742048,29935577.4966428,0.44318101707831953,0,2776,0.0,False,False,udp,30,20251009,043418_782517
73.00021,74.00021,1.0,3742048,29936384.0,0.629017753572914,0,2776,0.0,False,False,udp,30,20251009,043418_782517
74.00021,75.000205,0.999994993209839,3735308,29882613.615975842,0.8010779861320316,0,2771,0.0,False,False,udp,30,20251009,043418_782517
75.000205,76.000209,1.0000040531158447,3777096,30216645.528435234,0.46262076784279765,0,2802,0.0,False,False,udp,30,20251009,043418_782517
76.000209,77.00021,1.0000009536743164,3746092,29968707.41961344,0.4657340874690546,0,2779,0.0,False,False,udp,30,20251009,043418_782517
77.00021,78.000205,0.999994993209839,3723176,29785557.130034383,0.541059666154345,0,2762,0.0,False,False,udp,30,20251009,043418_782517
78.000205,79.000201,0.9999960064888,3754180,30033559.939357992,0.6998449220622462,0,2785,0.0,False,False,udp,30,20251009,043418_782517
79.000201,80.000206,1.0000050067901611,3764964,30119561.197677337,0.46650019442486274,0,2793,0.0,False,False,udp,30,20251009,043418_782517
80.000206,81.000072,0.999866008758545,3769008,30156104.653900024,0.4437233436865619,0,2796,0.0,False,False,udp,30,20251009,043418_782517
81.000072,82.000203,1.0001310110092163,3750136,29997158.04205129,0.367821404737153,0,2782,0.0,False,False,udp,30,20251009,043418_782517
82.000203,83.000179,0.9999759793281555,3752832,30023377.181690946,0.515037105726583,0,2784,0.0,False,False,udp,30,20251009,043418_782517
83.000179,84.000209,1.0000300407409668,3727220,29816864.279303744,0.6515557032459468,0,2765,0.0,False,False,udp,30,20251009,043418_782517
84.000209,85.000205,0.9999960064888,3769008,30152184.413086157,0.45405859934984255,0,2796,0.0,False,False,udp,30,20251009,043418_782517
85.000205,86.000206,1.0000009536743164,3739352,29914787.471035507,0.4923057650109119,0,2774,0.0,False,False,udp,30,20251009,043418_782517
86.000206,87.000205,0.9999989867210388,3760920,30087390.486919776,0.45910279133821447,0,2790,0.0,False,False,udp,30,20251009,043418_782517
87.000205,88.000176,0.9999709725379944,3750136,30001958.880721506,0.49276396362954855,0,2782,0.0,False,False,udp,30,20251009,043418_782517
88.000176,89.000147,0.9999709725379944,3750136,30001958.880721506,0.4496363765624841,0,2782,0.0,False,False,udp,30,20251009,043418_782517
89.000147,90.000206,1.0000590085983276,3750136,29999317.78230688,0.38047259964301183,0,2782,0.0,False,False,udp,30,20251009,043418_782517
90.000206,91.000204,0.9999979734420776,3738004,29904092.602375776,0.5103858297034686,0,2773,0.0,False,False,udp,30,20251009,043418_782517
91.000204,92.00021,1.0000059604644775,3762268,30097964.602151144,0.3575652745156416,0,2791,0.0,False,False,udp,30,20251009,043418_782517
92.00021,93.000205,0.999994993209839,3738004,29904181.723962832,0.45874991491877476,0,2773,0.0,False,False,udp,30,20251009,043418_782517
